"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.59103","13.06282","12.19509","13.78319","","11.41266","12.21276","","","","","","","18.38443","17.36433","17.08119","","","","","","","","",
"Africa Eastern and Southern","AFE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.95215","12.21159","8.31733","11.17447","11.72219","10.24688","10.34081","10.25174","","","","","",
"Africa Western and Central","AFW","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.90087","12.238305","","11.64562","12.13029","10.917025","10.633625","12.891175","10.67458","","","","","","","","","",
"Angola","AGO","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.84568","","34.18148","","","","","",
"Andorra","AND","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7816","","7.97078","7.43949","9.72882","9.91776","","15.70711","17.08411","17.79961","","15.56091","13.02109","13.45657","12.74297","12.72411","12.30702","","","","",
"Arab World","ARB","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.04318","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.95099","12.42388","12.2987","13.80064","10.75649","10.47639","10.00318","10.53523","11.53286","12.6881","13.70256","14.80287","13.68048","14.20816","14.56387","14.38084","14.38654","15.64309","15.2222","14.97726","","","","","",
"Armenia","ARM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.78627","10.98089","","10.994","11.27122","10.15365","","","","","",
"American Samoa","ASM","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.05843","","","","","","","","","","","","","",
"Australia","AUS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.68629","","","","","16.74596","","","","","17.92028","17.73229","17.28608","17.65014","19.91991","22.33566","19.96941","18.14095","18.65626","18.24146","18.78482","19.30184","","","","","","",
"Austria","AUT","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.51562","24.35442","22.47593","22.44577","22.86316","22.60623","22.01719","22.61234","22.58595","22.16889","23.15767","25.12912","24.90171","24.58211","21.34553","22.85994","22.59552","23.20446","23.48041","","","","","","",
"Azerbaijan","AZE","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.96135","9.04612","10.11769","10.56828","","13.9698","13.30148","","","13.63167","15.87194","14.43146","14.45543","12.6662","12.92904","","","","","","","","","",
"Belgium","BEL","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5828","22.22876","22.03343","21.87767","","","","","","",
"Benin","BEN","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.92778","12.00697","10.08238","10.00672","10.54721","10.10737","11.28517","","11.64562","12.62188","13.66952","","12.18628","11.04903","10.19757","10.25321","","","","","","","",
"Burkina Faso","BFA","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.32325","29.7582","28.07848","","","18.11396","20.47988","17.37351","19.01221","20.22056","16.13029","","","","","","","",
"Bangladesh","BGD","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58248","8.79898","8.29676","7.56853","","","","","","","","","","","","","",
"Bulgaria","BGR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.26539","","","15.16592","15.37402","17.97436","11.19144","22.20004","21.58024","20.63391","22.80496","22.74503","21.49743","18.98909","18.88574","22.99728","","","","","","","","","",
"Bahrain","BHR","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.47755","10.32071","11.16362","","","","","","","",
"Bahamas, The","BHS","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure per student, primary (% of GDP per capita)","SE.XPD.PRIM.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
