"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.7175140770438","38.5330958547049","35.5740791710476","51.020253710925","62.8894551847705","69.7330579869071","76.4077886065106","85.5040797744236","87.8679488943775","91.4087922804702","105.781586574174","115.524898032211","110.405129197221","108.29580836411","101.730323838065","95.3377984972408","88.4608752319246","92.758891503073","93.0106382506274","89.0553149271313","80.4532506260434","","",
"Afghanistan","AFG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.00758553","17.81492424","21.42946434","25.10707283","28.91982269","32.71720505","39.96989822","43.26076889","46.57987976","52.36304855","52.61354065","56.30554199","60.18957901","60.05854034","61.48645782","66.90921783","71.33431075","74.23410411","80.28805103","81.319762","",
"Africa Western and Central","AFW","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1820813814235","20.8234085871647","21.8739672040375","33.6527850134103","38.1816410476709","43.625751159358","50.1153973785724","54.4133857422286","62.8034627151695","56.7139649319972","60.3560637759905","67.4602477075939","69.7706004494898","77.362308638938","80.2973529497333","71.9541139512381","62.6314803165199","59.9865237713242","58.7573406899393","60.3971835122152","64.2398003890941","","",
"Angola","AGO","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.00008678","28.92523384","29.05480003","34.8696785","49.77629852","54.21235657","69.76922607","92.84111786","135.63153076","120.0315094","96.66415405","121.91368866","121.79575348","142.88616943","130.74234009","107.64356232","94.1061554","112.85147095","83.89920044","69.37934113","50.74262238","","",
"Albania","ALB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1499939","73.78868103","78.99415588","111.46188354","141.91281128","154.87532043","168.41978455","204.80184937","240.44338989","235.39897156","255.4131012","271.95718384","259.52676392","277.57702637","295.45074463","256.12640381","274.43859863","295.99508667","350.83456421","","","","",
"Andorra","AND","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1286.85974121","1336.06115723","1486.01049805","1772.50793457","1989.83166504","2214.39160156","2138.99926758","2489.10791016","3046.01953125","3024.99462891","3796.64501953","3956.99267578","3029.50634766","3056.7253418","3113.92456055","2729.9440918","2796.61987305","2910.01538086","3188.00317383","3061.79052734","3336.91772461","","",
"Arab World","ARB","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.535562182104","114.562138886437","113.734972233017","110.038047272984","120.632720418572","134.278047087346","154.173182316563","180.400833965206","211.986323943895","227.796675713492","237.55463999361","272.662632987177","293.364964709566","328.06018301051","355.148735463248","340.523514038679","348.307862868792","354.362009320232","368.981115522389","277.236393025392","278.841155290603","","",
"United Arab Emirates","ARE","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","753.07550049","743.05072021","821.34509277","862.90325928","911.39276123","978.90435791","1054.33288574","1126.81237793","1321.93688965","1284.76318359","1325.20324707","1500.80249023","1480.72741699","1601.55285645","1656.2689209","1439.30053711","1375.90576172","1726.24072266","1914.9317627","1947.1307373","2191.81363201","","",
"Argentina","ARG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","704.94592285","671.36853027","222.64750671","260.9826355","310.21994019","390.80447388","453.63934326","569.28839111","742.90466309","781.77801514","980.1362915","1202.56396484","1361.99157715","1415.21008301","1280.61486816","1525.05310059","1149.31335449","1525.59106445","1122.47497559","958.52349854","863.7144165","","",
"Armenia","ARM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.31324768","31.41045189","58.26768875","65.34529114","70.64100647","94.26863098","123.4087677","168.47839355","259.54516602","246.33584595","290.27081299","324.65719604","332.83700562","395.71405029","408.88485718","370.92660522","366.22732544","418.86001587","439.4309082","549.47436523","551.543396","","",
"American Samoa","ASM","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","519.13116455","571.1116333","557.902771","612.15380859","596.07177734","639.24017334","662.71893311","711.56207275","691.20733643","606.90460205","720.92443848","713.99853516","749.94378662","735.49279785","822.39221191","784.64538574","812.51092529","785.4710083","849.83349609","801.54382324","830.33953857","","",
"Australia","AUS","Current health expenditure per capita (current US$)","SH.XPD.CHEX.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1636.52868652","1559.82128906","1763.69580078","2240.74609375","2760.83081055","3014.10498047","3194.03076172","3815.33642578","4107.01269531","4011.93286133","4975.47119141","5909.14990234","6071.65087891","5843.17431641","6139.39306641","5324.34082031","5453.99707031","5816.26074219","5864.39453125","5555.37402344","5901.10644531","","",
