"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2912521362305","","","","","","","","","","96.822639465332","","","","","","","","97.8074188232422","","97.9899978637695","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7706718444824","56.0884208679199","56.601619720459","57.1959495544434","57.1739692687988","57.5963096618652","58.0278816223145","58.7079315185547","59.1105690002441","59.6861686706543","60.4427795410156","60.6150703430176","61.4292602539063","61.7969703674316","62.5126495361328","62.8830490112305","63.5342483520508","64.8186111450195","63.146110534668","61.2504501342773","61.9769897460938","62.4322204589844","63.0463714599609","63.6625785827637","65.8645401000977","67.3918228149414","68.4451065063477","68.8279724121094","69.2824935913086","70.0596008300781","69.9994506835938","70.4202499389648","71.5740509033203","71.8899078369141","","",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.1576805114746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4488506317139","","","","","","","","","","37.266040802002","",
"Africa Western and Central","AFW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","40.6031494140625","40.8788108825684","41.6737785339355","42.4468612670898","43.2128105163574","44.0122299194336","45.0431594848633","45.594898223877","46.4252510070801","47.2516098022461","47.3689804077148","48.187068939209","49.1938018798828","50.5956687927246","51.3557090759277","47.3847312927246","48.7551689147949","49.4250297546387","49.5009918212891","51.5596084594727","51.6154403686523","57.5391883850098","50.2602806091309","49.8010292053223","50.8832893371582","51.3438301086426","51.9527282714844","52.6035385131836","53.1449890136719","54.1866188049316","54.9791793823242","55.5649681091309","56.6042518615723","59.619270324707","60.1786613464355","60.2349891662598","","",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4054183959961","","","","","","","","","","","","","66.0301132202148","","","","","","","72.2799987792969","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7129821777344","","","","","","","95.9386367797852","","","96.8452987670898","97.2469711303711","","","","","","98.1411514282227","","","98.4499969482422","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","44.9160308837891","45.2778015136719","45.6929893493652","46.2048187255859","46.7686386108398","47.4164390563965","47.6296882629395","48.4772109985352","49.334358215332","50.3095283508301","50.8972396850586","51.8869094848633","52.7918815612793","53.7633590698242","54.8580207824707","55.795711517334","56.5173301696777","57.3515090942383","58.3188400268555","59.7680206298828","60.485050201416","61.6436805725098","62.6564598083496","63.5654792785645","64.7393798828125","65.8900833129883","68.5137405395508","69.4438781738281","69.0280914306641","67.945426940918","68.43212890625","69.4384536743164","68.1090469360352","69.0688171386719","70.8689193725586","74.3506622314453","73.9219512939453","76.1254501342773","73.5515670776367","74.9264068603516","75.8427124023438","72.9458618164063","73.1888732910156","73.5891876220703","","",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.5148811340332","","","","","","","","","","71.2352981567383","","","","","","","","","","","","","","","","","","","","90.0338516235352","","","","","","","","","","","","","","95.526481628418","","98.1263580322266","",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.9128570556641","","","","","","","","","","","96.0407180786133","","","","","","","","","","97.1933135986328","","","","","98.6108016967773","","","98.9834213256836","98.9549713134766","99.1083297729492","99.1052322387695","99.1219482421875","98.9938888549805","99.1799621582031","99.1250076293945","","99.0038681030273","","","","",
